condition,group,label,ITEST_id,step_idx,skill,citation_required,stage1_used,stage3_used,truncated_in_thinking,n_sentences,faithfulness_rate,hallucination_rate,hedge_violation_rate,structural_violation_rate,conditional_faithfulness_rate,conditional_hallucination_rate,n_content_eligible
ablate_stage3,ablation,w/o Auto Verification (Stage 3),828,882,probability,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,3890,754,interpreting-linear-equations,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,3890,754,interpreting-linear-equations,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),3890,754,interpreting-linear-equations,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3890,754,interpreting-linear-equations,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3890,754,interpreting-linear-equations,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3890,754,interpreting-linear-equations,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,1046,68,properties-of-geometric-figures,False,False,True,False,3,1.0,0.0,0.0,,1.0,0.0,3.0
template,baseline,Template-only,1046,68,properties-of-geometric-figures,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1046,68,properties-of-geometric-figures,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1046,68,properties-of-geometric-figures,True,False,True,False,4,1.0,0.0,0.0,0.0,1.0,0.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1046,68,properties-of-geometric-figures,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1046,68,properties-of-geometric-figures,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,6695,864,reading-graph,False,False,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
template,baseline,Template-only,6695,864,reading-graph,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6695,864,reading-graph,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6695,864,reading-graph,True,False,True,False,4,1.0,0.0,0.0,0.0,1.0,0.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6695,864,reading-graph,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6695,864,reading-graph,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,1858,341,interpreting-numberline,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,1858,341,interpreting-numberline,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),1858,341,interpreting-numberline,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1858,341,interpreting-numberline,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1858,341,interpreting-numberline,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1858,341,interpreting-numberline,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,6225,682,inducing-functions,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,6225,682,inducing-functions,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6225,682,inducing-functions,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6225,682,inducing-functions,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6225,682,inducing-functions,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6225,682,inducing-functions,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,1649,115,multiplying-decimals,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1649,115,multiplying-decimals,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1649,115,multiplying-decimals,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1649,115,multiplying-decimals,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1649,115,multiplying-decimals,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1649,115,multiplying-decimals,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,3408,1060,subtraction,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,3408,1060,subtraction,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),3408,1060,subtraction,True,True,True,False,4,0.0,0.75,0.0,0.25,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3408,1060,subtraction,True,False,True,False,4,0.25,0.75,0.0,0.0,0.25,0.75,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3408,1060,subtraction,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3408,1060,subtraction,True,True,False,False,4,,,,0.25,,,
naive,baseline,Naive Prompting,6226,542,subtraction,False,False,True,False,7,0.0,1.0,0.0,,0.0,1.0,7.0
template,baseline,Template-only,6226,542,subtraction,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6226,542,subtraction,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6226,542,subtraction,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6226,542,subtraction,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6226,542,subtraction,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,6964,452,mean,False,False,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
template,baseline,Template-only,6964,452,mean,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6964,452,mean,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6964,452,mean,True,False,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6964,452,mean,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6964,452,mean,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,3195,1119,n-number-sense-operations,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,3195,1119,n-number-sense-operations,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),3195,1119,n-number-sense-operations,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3195,1119,n-number-sense-operations,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3195,1119,n-number-sense-operations,False,True,True,False,2,0.0,1.0,0.0,,0.0,1.0,2.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3195,1119,n-number-sense-operations,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,3371,345,equation-solving,False,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,,0.3333333333333333,0.6666666666666666,3.0
template,baseline,Template-only,3371,345,equation-solving,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),3371,345,equation-solving,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3371,345,equation-solving,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3371,345,equation-solving,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3371,345,equation-solving,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,1764,157,perimeter,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1764,157,perimeter,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),1764,157,perimeter,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1764,157,perimeter,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1764,157,perimeter,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1764,157,perimeter,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,3609,1734,noskill,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,3609,1734,noskill,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),3609,1734,noskill,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3609,1734,noskill,True,False,True,False,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3609,1734,noskill,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3609,1734,noskill,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,5736,129,interpreting-linear-equations,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,5736,129,interpreting-linear-equations,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),5736,129,interpreting-linear-equations,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),5736,129,interpreting-linear-equations,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,5736,129,interpreting-linear-equations,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),5736,129,interpreting-linear-equations,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,998,395,least-common-multiple,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,998,395,least-common-multiple,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),998,395,least-common-multiple,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),998,395,least-common-multiple,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,998,395,least-common-multiple,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),998,395,least-common-multiple,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,1551,855,noskill,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1551,855,noskill,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),1551,855,noskill,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1551,855,noskill,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1551,855,noskill,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1551,855,noskill,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,5711,989,order-of-operations,False,False,True,False,3,1.0,0.0,0.0,,1.0,0.0,3.0
template,baseline,Template-only,5711,989,order-of-operations,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),5711,989,order-of-operations,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),5711,989,order-of-operations,True,False,True,False,4,1.0,0.0,0.0,0.0,1.0,0.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,5711,989,order-of-operations,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),5711,989,order-of-operations,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,3609,1394,noskill,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,3609,1394,noskill,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),3609,1394,noskill,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3609,1394,noskill,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3609,1394,noskill,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3609,1394,noskill,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,1055,394,combinatorics,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,1055,394,combinatorics,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),1055,394,combinatorics,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1055,394,combinatorics,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1055,394,combinatorics,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1055,394,combinatorics,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,101,294,circle-graph,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,101,294,circle-graph,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),101,294,circle-graph,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),101,294,circle-graph,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,101,294,circle-graph,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),101,294,circle-graph,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,4761,864,interpreting-linear-equations,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,4761,864,interpreting-linear-equations,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),4761,864,interpreting-linear-equations,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),4761,864,interpreting-linear-equations,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,4761,864,interpreting-linear-equations,False,True,True,False,4,0.5,0.5,0.0,,0.5,0.5,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),4761,864,interpreting-linear-equations,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,1764,225,pythagorean-theorem,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,1764,225,pythagorean-theorem,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),1764,225,pythagorean-theorem,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),1764,225,pythagorean-theorem,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,1764,225,pythagorean-theorem,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),1764,225,pythagorean-theorem,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,5368,49,square-root,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,5368,49,square-root,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),5368,49,square-root,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),5368,49,square-root,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,5368,49,square-root,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),5368,49,square-root,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,476,768,probability,False,False,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
template,baseline,Template-only,476,768,probability,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),476,768,probability,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),476,768,probability,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,476,768,probability,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),476,768,probability,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,6876,59,point-plotting,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,6876,59,point-plotting,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),6876,59,point-plotting,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6876,59,point-plotting,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6876,59,point-plotting,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6876,59,point-plotting,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,4255,706,noskill,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,4255,706,noskill,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),4255,706,noskill,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),4255,706,noskill,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,4255,706,noskill,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),4255,706,noskill,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,5132,67,noskill,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,5132,67,noskill,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),5132,67,noskill,True,True,True,False,2,0.5,0.5,0.0,0.0,0.5,0.5,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),5132,67,noskill,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,5132,67,noskill,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),5132,67,noskill,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,3892,28,sum-of-interior-angles-more-than-3-sides,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,3892,28,sum-of-interior-angles-more-than-3-sides,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),3892,28,sum-of-interior-angles-more-than-3-sides,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3892,28,sum-of-interior-angles-more-than-3-sides,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3892,28,sum-of-interior-angles-more-than-3-sides,False,True,True,False,2,0.5,0.5,0.0,,0.5,0.5,2.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3892,28,sum-of-interior-angles-more-than-3-sides,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,672,680,substitution,False,False,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
template,baseline,Template-only,672,680,substitution,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),672,680,substitution,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),672,680,substitution,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,672,680,substitution,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),672,680,substitution,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,6215,726,circle-graph,False,False,True,False,3,0.0,1.0,0.0,,0.0,1.0,3.0
template,baseline,Template-only,6215,726,circle-graph,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6215,726,circle-graph,True,True,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6215,726,circle-graph,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6215,726,circle-graph,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6215,726,circle-graph,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,6950,456,point-plotting,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,6950,456,point-plotting,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),6950,456,point-plotting,True,True,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6950,456,point-plotting,True,False,True,False,4,0.0,1.0,0.0,0.0,0.0,1.0,4.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6950,456,point-plotting,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6950,456,point-plotting,True,True,False,False,3,,,,0.0,,,
naive,baseline,Naive Prompting,6315,94,triangle-inequality,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,6315,94,triangle-inequality,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),6315,94,triangle-inequality,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6315,94,triangle-inequality,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6315,94,triangle-inequality,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6315,94,triangle-inequality,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,387,250,properties-of-geometric-figures,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,387,250,properties-of-geometric-figures,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),387,250,properties-of-geometric-figures,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),387,250,properties-of-geometric-figures,True,False,True,False,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,387,250,properties-of-geometric-figures,False,True,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),387,250,properties-of-geometric-figures,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,832,1762,proportion,False,False,True,False,4,0.25,0.75,0.0,,0.25,0.75,4.0
template,baseline,Template-only,832,1762,proportion,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
